Year,ID,Cone incidence,Color color,Yield Gain (alpha acid yield),,Dry yield (kg per string),Fungicide,Last Spray Date,Day of year,Alpha yield (kg per string),Alpha acid (%),Cone yield change ,Yield Change,Yield Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,21,0.965,4.5,0,,0.42444,Non-treated,,190,0.043,10.051,0,-0.146579805,0.146579805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,26,0.4,8,0.025949367,,0.389664,QQFFQQFF,08/24/09,236,0.044,11.222,-0.081933842,-0.2165038,0.2165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,27,0.423,9,0.020379747,,0.420822,FFQQFFQQ,08/24/09,236,0.044,10.481,-0.008524173,-0.153854506,0.153854506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,28,0.38,8,0.217974684,,0.460566,QFQFQFQF,08/24/09,236,0.052,11.289,0.085114504,-0.073941368,0.073941368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,29,0.367,9,0.11164557,,0.455544,FQFQFQFQ,08/24/09,236,0.047,10.388,0.073282443,-0.084039088,0.084039088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,30,0.438,7.5,0.159493671,,0.44226,QQFFQQF,08/10/09,222,0.049,11.129,0.041984733,-0.110749186,0.110749186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,31,0.325,7,0.283544304,,0.49734,QQFFQQ,07/27/09,208,0.055,11,0.171755725,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,32,0.533,6,0.053924051,,0.421038,QQFFQ,07/13/09,194,0.045,10.705,-0.008015267,-0.153420195,0.153420195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,33,0.419,8,0.143037975,,0.421956,FFQQFFQ,08/10/09,222,0.049,11.563,-0.005852417,-0.151574376,0.151574376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,34,0.488,7.5,-0.021392405,,0.376002,FFQQFF,07/27/09,208,0.042,11.102,-0.114122137,-0.243973941,0.243973941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,35,0.625,6,0.139240506,,0.4536,FFQQF,07/13/09,194,0.049,10.73,0.06870229,-0.087947883,0.087947883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,26,0.272,6,0.102254428,,0.212914,QFQFQFQF,08/17/11,229,0.026,12.24,0.007733813,-0.315873016,0.315873016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,27,0.243,6.5,0.046376812,,0.227202,FQFQFQFQ,08/17/11,229,0.025,10.92,0.075359712,-0.26996337,0.26996337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,30,0.265,5.5,0.123993559,,0.235106,QFQFQFQF,08/24/11,236,0.027,11.11,0.112769784,-0.244566545,0.244566545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,31,0.271,5.5,0.371014493,,0.27588,FQFQFQFQ,08/24/11,236,0.032,11.84,0.305755396,-0.113553114,0.113553114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,32,0.428,4.5,0,,0.21128,Non-treated,,190,0.024,11.26,0,-0.321123321,0.321123321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,33,0.2,5,0.501288245,,0.31122,QQFFQQFF,08/24/11,236,0.035,11.37,0.473021583,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,34,0.162,6,0.297906602,,0.26277,FFQQFFQQ,08/24/11,236,0.031,11.58,0.243705036,-0.155677656,0.155677656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,35,0.144,6,0.423510467,,0.30248,QQFFQQF ,08/10/11,222,0.034,11.17,0.431654676,-0.028083028,0.028083028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,36,0.153,6,0.1,,0.222604,QQFFQQ,07/27/11,208,0.026,11.71,0.053597122,-0.284737485,0.284737485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,37,0.399,4.5,0.428341385,,0.2793,QQFFQ,07/13/11,194,0.034,12.19,0.321942446,-0.102564103,0.102564103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,38,0.161,6,0.183574879,,0.246886,FFQQFFQ ,08/10/11,222,0.028,11.34,0.16852518,-0.206715507,0.206715507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,39,0.23,6,0.163123994,,0.250496,FFQQFF,07/27/11,208,0.027,10.96,0.185611511,-0.195115995,0.195115995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,40,0.407,5.5,0.296296296,,0.261516,FFQQF,07/13/11,194,0.031,11.73,0.237769784,-0.15970696,0.15970696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,13,0.694,4,0.136941176,,0.0336,QQFFQQFF,08/24/11,236,0.004,12.08,0.230769231,-0.157894737,0.157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,14,0.862,5,0.012941176,,0.0294,FFQQFFQQ,08/24/11,236,0.004,12.3,0.076923077,-0.263157895,0.263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,19,0.599,5,0.325529412,,0.0399,QFQFQFQF,08/29/11,241,0.005,11.86,0.461538462,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,20,0.753,4,-0.016705882,,0.0294,FQFQFQFQ,08/29/11,241,0.004,11.94,0.076923077,-0.263157895,0.263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,21,0.967,4,0,,0.0273,Non-treated,,190,0.004,12.05,0,-0.315789474,0.315789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,22,0.813,4,0.081764706,,0.0315,QQFFQQFF,08/29/11,241,0.004,12.26,0.153846154,-0.210526316,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,23,0.863,4.5,0.016235294,,0.0294,FFQQFFQQ,08/29/11,241,0.004,12.34,0.076923077,-0.263157895,0.263157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,24,0.814,5,0.083529412,,0.0315,QQFFQQF,08/17/11,229,0.004,12.28,0.153846154,-0.210526316,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,25,0.755,5,0.064117647,,0.0315,QQFFQQ,08/04/11,216,0.004,12.06,0.153846154,-0.210526316,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,26,0.799,3.5,0.083294118,,0.0336,QQFFQ,07/20/11,201,0.004,11.51,0.230769231,-0.157894737,0.157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,27,0.833,4.5,0.114352941,,0.0336,FFQQFFQ,08/17/11,229,0.004,11.84,0.230769231,-0.157894737,0.157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,28,0.875,4,-0.093647059,,0.0252,FFQQFF,08/04/11,216,0.003,12.84,-0.076923077,-0.368421053,0.368421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,29,0.889,4.5,-0.128235294,,0.0252,FFQQF,07/20/11,201,0.003,12.35,-0.076923077,-0.368421053,0.368421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
