Field ID,Year,Date,Month,Grower,State,Weather Station,City,Field,Latitude,Longitude,Centroid Lat,Centroid Long,Area_Acres,Perimeter,Variety,Susceptibility to R6 Strains,Susceptibility to non-R6 Strains,Rows,Hill,w/PM,Mildew Incidence,Flag shoots,Flag shoot incidence,Type of Pruning (initial),2014 Pruning Quality Initial Rating,Pruning Quality (Initial),Type of Pruning (Final),Pruning Quality Final,Monthly Sprays,Total Powdery Mildew Sprays,Date of First Spray,Initial Strain,Basal Foliage Removal,Raters,Notes (initial),Noted (Final),Avg WS N,Percent N Hr,Avg WS NNE,Percent NNE Hr,Avg WS NE,Percent NE Hr,Avg WS ENE,Percent ENE Hr,Avg WS E,Percent E Hr,Avg WS ESE,Percent ESE Hr,Avg WS SE,Percent SE Hr,Avg WS SSE,Percent SSE Hr,Avg WS S,Percent S Hr,Avg WS SSW,Percent SSW Hr,Avg WS SW ,Percent SW Hr,Avg WS WSW,Percent WSW Hr,Avg WS W,Percent W Hr,Avg WS WNW,Percent WNW Hr,Avg WS NW,Percent NW Hr,Avg WS NNW,Percent NNW Hr
1,2014,4/7/2014,April,Annen,Oregon,Silverton,Silverton,Cascade-5," 45° 2'20.62""N","122°46'37.85""W",45.0405,-122.7772,1.7,2284.6,Cascade,1,1,"2,4",50,0,0,0,0,Chemical,Moderate,3,Chemical,3,0,5,6/8/2014,.,1,MT,,,10.9515625,11.97846568,8.9625,6.460296097,10.05,2.153432032,10.10625,2.153432032,11.10833333,1.615074024,10.78333333,0.807537012,17.35,0.269179004,4.7,0.269179004,12.46666667,4.037685061,14.8406639,32.43606999,14.64117647,13.72812921,12.96567164,9.017496635,10.51086957,6.191117093,11.79230769,3.499327052,5.988888889,2.422611036,7.059090909,2.960969044
1,2014,5/8/2014,May,Annen,Oregon,Silverton,Silverton,Cascade-5," 45° 2'20.62""N","122°46'37.85""W",45.0405,-122.7772,1.7,2284.6,Cascade,1,1,3,100,0,0,0,0,Chemical,Moderate,3,Chemical,3,1,5,6/8/2014,.,1,DHG/MT,,,12.6943038,24.25032595,11.33461538,20.33898305,12.18888889,3.520208605,14.76666667,0.391134289,13.7,0.521512386,11.25,0.260756193,0,0,7,0.260756193,14.78888889,2.346805737,12.89883721,11.2125163,13.16206897,7.561929596,9.343283582,8.735332464,6.543589744,5.084745763,7.122580645,4.041720991,6.333333333,4.693611473,7.792307692,6.779661017
1,2014,6/9/2014,June,Annen,Oregon,Silverton,Silverton,Cascade-5," 45° 2'20.62""N","122°46'37.85""W",45.0405,-122.7772,1.7,2284.6,Cascade,1,1,3,100,0,0,0,0,Chemical,Moderate,3,Chemical,3,2,5,6/8/2014,.,1,DHG/MT/KK,,,10.28269231,13.125,11.22040816,10.20833333,3.866666667,1.25,5.95,0.833333333,6.233333333,0.625,5.1,0.416666667,13.6,0.208333333,2.6,0.833333333,12.88181818,2.291666667,12.91954023,18.125,11.00126582,16.45833333,8.478125,6.666666667,10.80816327,10.20833333,8.308,5.208333333,7.768181818,4.583333333,8.18372093,8.958333333
1,2014,7/7/2014,July,Annen,Oregon,Silverton,Silverton,Cascade-5," 45° 2'20.62""N","122°46'37.85""W",45.0405,-122.7772,1.7,2284.6,Cascade,1,1,3,100,1,0.01,0,0,Chemical,Moderate,3,Chemical,3,1,5,6/8/2014,.,1,MT/SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2014,4/7/2014,April,Annen,Oregon,Silverton,Silverton,Chinook-10," 45° 2'24.78""N","122°46'36.15""W",45.0411,-122.7766,2.2,1569.3,Chinook,4,4,"6,9",100,0,0,0,0,Chemical,Moderate,3,Chemical,3,0,5,6/8/2014,non-R6,1,.,No plants?,,11.22666667,11.44010767,8.429411765,4.576043069,7.910344828,3.903095559,12.21,1.34589502,9.530769231,1.749663526,12.57222222,2.422611036,8.65,0.269179004,3.333333333,0.403768506,10.66382979,6.325706595,18.349,26.9179004,15.64661017,15.88156124,12.44022989,11.70928668,10.47906977,5.787348587,6.427777778,2.422611036,10.32,1.34589502,5.615384615,3.499327052
2,2014,5/8/2014,May,Annen,Oregon,Silverton,Silverton,Chinook-10," 45° 2'24.78""N","122°46'36.15""W",45.0411,-122.7766,2.2,1569.3,Chinook,4,4,5,100,0,0,0,0,Chemical,Moderate,3,Chemical,3,1,5,6/8/2014,non-R6,1,DHG/MT,,,13.36106195,18.3833116,11.3707483,19.16558018,9.451428571,4.563233377,8.718181818,1.434159061,6.6,0.651890482,5.8,0.130378096,1.4,0.130378096,0.6,0.130378096,16.10833333,1.564537158,13.86521739,11.99478488,11.79868421,9.908735332,9.333783784,9.64797914,6.636170213,6.127770535,4.896969697,4.302477184,5.968965517,3.780964798,9.327419355,8.083441982
2,2014,6/9/2014,June,Annen,Oregon,Silverton,Silverton,Chinook-10," 45° 2'24.78""N","122°46'36.15""W",45.0411,-122.7766,2.2,1569.3,Chinook,4,4,3,100,0,0,0,0,Chemical,Moderate,3,Chemical,3,2,5,6/8/2014,non-R6,1,DHG/MT/KK,,,8.4725,10.625,10.85576923,10.83333333,6.34,2.083333333,7.475,0.833333333,14.5,0.208333333,1.55,0.416666667,0.6,0.416666667,1.05,0.416666667,12.76153846,2.708333333,13.792,15.625,10.92291667,20,9.841860465,8.958333333,9.526,10.41666667,8.238888889,3.75,5.879310345,6.041666667,8.853125,6.666666667
2,2014,7/7/2014,July,Annen,Oregon,Silverton,Silverton,Chinook-10," 45° 2'24.78""N","122°46'36.15""W",45.0411,-122.7766,2.2,1569.3,Chinook,4,4,7,100,1,0.01,0,0,Chemical,Moderate,3,Chemical,3,1,5,6/8/2014,non-R6,1,MT/SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2014,4/7/2014,April,Annen,Oregon,Silverton,Silverton,Chinook-15," 45° 2'20.37""N","122°46'41.16""W",45.0405,-122.7778,5.9,2658.1,Chinook,4,4,"3,11",75,0,0,0,0,Chemical,Moderate,3,Chemical,3,0,5,6/8/2014,non-R6,1,MT,,,9.62244898,9.959623149,8.310810811,4.979811575,8.36,3.36473755,13.825,1.615074024,9.027777778,2.422611036,15.075,1.076716016,12.33333333,0.403768506,2.9,0.403768506,9.078571429,1.884253028,16.55074627,27.05248991,14.14421769,19.7846568,12.44705882,11.44010767,11.40681818,5.921938089,7.483333333,1.615074024,6.6625,3.230148048,8.255555556,4.845222073
3,2014,5/8/2014,May,Annen,Oregon,Silverton,Silverton,Chinook-15," 45° 2'20.37""N","122°46'41.16""W",45.0405,-122.7778,5.9,2658.1,Chinook,4,4,4,100,0,0,0,0,Chemical,Moderate,3,Chemical,3,1,5,6/8/2014,non-R6,1,DHG/MT,,,11.85629139,23.33767927,10.23412698,16.42764016,11.41904762,5.475880052,10.38333333,0.782268579,13.6,0.130378096,3.5,0.130378096,0.7,0.130378096,1.95,0.260756193,14.65714286,0.912646675,14.53780488,10.69100391,11.92375,10.43024772,9.695833333,9.387222947,6.978378378,4.82398957,5.65,3.911342894,5.163636364,4.302477184,9.767647059,8.865710561
